,0,1,2,3,4,5,6,7,8,9,10
185,185.0,185.0,11.528,-25.734,-13.353,0.938,2.269,10.667,-1.2,8.52,36.12
186,186.0,186.0,16.401,-32.538,-12.24,-1.355,2.118,10.366,-0.48,12.12,36.66
187,187.0,187.0,18.29,-33.393,-10.887,-3.257,0.847,9.462,3.48,7.02,36.12
188,188.0,188.0,15.759,-27.771,-4.683,-3.325,3.546,8.483,0.84,-5.28,33.54
189,189.0,189.0,15.532,-20.497,-2.89,-4.137,1.965,6.051,-8.64,-11.22,28.08
190,190.0,190.0,11.299,-12.876,0.709,-2.485,0.621,4.129,-16.8,-13.38,22.44
191,191.0,191.0,11.409,-7.379,-3.91,-2.116,0.856,2.979,-21.12,-12.12,20.04
192,192.0,192.0,8.696,-3.484,-0.91,-1.82,1.089,2.642,-25.5,-11.04,15.96
193,193.0,193.0,9.599,-1.223,-1.121,-0.865,0.495,1.972,-28.02,-8.28,14.28
194,194.0,194.0,10.109,-1.245,-2.761,-1.073,1.486,1.673,-29.82,-4.5,12.42
